Program	Static-Opt	Heracles
asr+bs	0.660688088853397	0.745513008022476
asr+bt	0.41948689681109	0.286049266495473
asr+fs	0.938008423310354	0.330320202199076
asr+fa	0.946034568311277	0.601242096148931
asr+rt	0.979213340710444	0.604390673062132
asr+x264	0.938831813114389	0.510308270279262
asr+can	0.518527750212586	0.846578325586793
asr+sc	0.538049689204732	0.57684863040872
crf+bs	0.209295824671884	0.349277443307133
crf+bt	0.35875922627151	0.290217438372392
crf+fs	0.689737480511343	0.647106391041224
crf+fa	0.783213758600326	0.486476995832135
crf+rt	0.575728827261039	0.34020732929407
crf+x264	0.638841431257447	0.567105413829631
crf+can	0.407162371065165	0.618563488293611
crf+sc	0.441197315038527	0.591799135732564
fd+bs	0.000976656754274	0.083842701291948
fd+bt	0.000579913762575	0.047875399436829
fd+fs	0	0.132953198740342
fd+fa	0.00081393628804	0.133241884804807
fd+rt	0.033241151107738	0.088373549767957
fd+x264	0.000876482214628	0.132959784035197
fd+can	0.098369111617436	0.098795776792956
fd+sc	0.015644034729524	0
fe+bs	0	0.085283650014564
fe+bt	0	0.054973170183372
fe+fs	0	0.158590922093667
fe+fa	0.000921539962074	0.131849134498038
fe+rt	0.036688093204808	0.088741508462892
fe+x264	0.001157009844294	0.160745182990495
fe+can	0.096884902048849	0.096400717860698
fe+sc	0	0
gmm+bs	0.001296483108831	0.081967119922896
gmm+bt	0.000775813540189	0.042600860950605
gmm+fs	0	0.105576820912397
gmm+fa	0.001077260094705	0.122672592474998
gmm+rt	0.080420973234131	0.082383419607118
gmm+x264	0.000386947430044	0.071077706912501
gmm+can	0.002596694404224	0.067684575203757
gmm+sc	0	0
regex+bs	0	0.084618910462338
regex+bt	0	0.051943693569445
regex+fs	0	0.151430117606849
regex+fa	0.000872869774662	0.140114593019429
regex+rt	0.040651443569222	0.087200829798292
regex+x264	0.001195186188828	0.10105930098965
regex+can	0.002056483609259	0.098299783962127
regex+sc	0	0
stem+bs	0.178115844615307	0.761520761957866
stem+bt	0.418720203510358	0.46621529637664
stem+fs	0.94945580362616	0.109433686554282
stem+fa	0.978326719343103	0.986829618068382
stem+rt	0.630458053974872	0.760950292499467
stem+x264	0.93927915396629	0.826095864281799
stem+can	0.729020962044719	0.844982133242609
stem+sc	0.509164698302196	0.666512456335342
Avg.	0.282014307697801	0.29638930577836
