FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.438 seconds 
iteration: 1 time: 0.332 seconds 
iteration: 2 time: 0.320 seconds 
iteration: 3 time: 0.323 seconds 
iteration: 4 time: 0.292 seconds 
iteration: 5 time: 0.285 seconds 
iteration: 6 time: 0.267 seconds 
iteration: 7 time: 0.293 seconds 
iteration: 8 time: 0.287 seconds 
iteration: 9 time: 0.269 seconds 
iteration: 10 time: 0.266 seconds 
iteration: 11 time: 0.269 seconds 
iteration: 12 time: 0.289 seconds 
iteration: 13 time: 0.314 seconds 
iteration: 14 time: 0.331 seconds 
iteration: 15 time: 0.301 seconds 
iteration: 16 time: 0.296 seconds 
iteration: 17 time: 0.271 seconds 
iteration: 18 time: 0.310 seconds 
iteration: 19 time: 0.295 seconds 
iteration: 20 time: 0.318 seconds 
iteration: 21 time: 0.296 seconds 
iteration: 22 time: 0.305 seconds 
iteration: 23 time: 0.341 seconds 
iteration: 24 time: 0.306 seconds 
iteration: 25 time: 0.269 seconds 
iteration: 26 time: 0.298 seconds 
iteration: 27 time: 0.318 seconds 
iteration: 28 time: 0.301 seconds 
iteration: 29 time: 0.302 seconds 
iteration: 30 time: 0.301 seconds 
iteration: 31 time: 0.346 seconds 
iteration: 32 time: 0.333 seconds 
iteration: 33 time: 0.351 seconds 
iteration: 34 time: 0.307 seconds 
iteration: 35 time: 0.291 seconds 
iteration: 36 time: 0.331 seconds 
iteration: 37 time: 0.350 seconds 
iteration: 38 time: 0.320 seconds 
iteration: 39 time: 0.351 seconds 
iteration: 40 time: 0.290 seconds 
iteration: 41 time: 0.381 seconds 
iteration: 42 time: 0.314 seconds 
iteration: 43 time: 0.328 seconds 
iteration: 44 time: 0.300 seconds 
iteration: 45 time: 0.300 seconds 
iteration: 46 time: 0.282 seconds 
iteration: 47 time: 0.347 seconds 
iteration: 48 time: 0.364 seconds 
iteration: 49 time: 0.348 seconds 
iteration: 50 time: 0.317 seconds 
iteration: 51 time: 0.305 seconds 
iteration: 52 time: 0.302 seconds 
iteration: 53 time: 0.436 seconds 
iteration: 54 time: 0.338 seconds 
iteration: 55 time: 0.321 seconds 
iteration: 56 time: 0.334 seconds 
iteration: 57 time: 0.325 seconds 
iteration: 58 time: 0.326 seconds 
iteration: 59 time: 0.314 seconds 
iteration: 60 time: 0.316 seconds 
iteration: 61 time: 0.291 seconds 
iteration: 62 time: 0.293 seconds 
iteration: 63 time: 0.321 seconds 
iteration: 64 time: 0.265 seconds 
iteration: 65 time: 0.287 seconds 
iteration: 66 time: 0.311 seconds 
iteration: 67 time: 0.335 seconds 
iteration: 68 time: 0.307 seconds 
iteration: 69 time: 0.296 seconds 
iteration: 70 time: 0.311 seconds 
iteration: 71 time: 0.276 seconds 
iteration: 72 time: 0.301 seconds 
iteration: 73 time: 0.288 seconds 
iteration: 74 time: 0.368 seconds 
iteration: 75 time: 0.357 seconds 
iteration: 76 time: 0.311 seconds 
iteration: 77 time: 0.307 seconds 
iteration: 78 time: 0.290 seconds 
iteration: 79 time: 0.302 seconds 
iteration: 80 time: 0.298 seconds 
iteration: 81 time: 0.289 seconds 
iteration: 82 time: 0.292 seconds 
iteration: 83 time: 0.300 seconds 
iteration: 84 time: 0.294 seconds 
iteration: 85 time: 0.310 seconds 
iteration: 86 time: 0.340 seconds 
iteration: 87 time: 0.314 seconds 
iteration: 88 time: 0.275 seconds 
iteration: 89 time: 0.265 seconds 
iteration: 90 time: 0.316 seconds 
iteration: 91 time: 0.337 seconds 
iteration: 92 time: 0.328 seconds 
iteration: 93 time: 0.323 seconds 
iteration: 94 time: 0.303 seconds 
iteration: 95 time: 0.279 seconds 
iteration: 96 time: 0.309 seconds 
iteration: 97 time: 0.330 seconds 
iteration: 98 time: 0.288 seconds 
iteration: 99 time: 0.275 seconds 
run all iterations: 31.164 seconds elapsed
FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.413 seconds 
iteration: 1 time: 0.319 seconds 
iteration: 2 time: 0.331 seconds 
iteration: 3 time: 0.276 seconds 
iteration: 4 time: 0.288 seconds 
iteration: 5 time: 0.312 seconds 
iteration: 6 time: 0.286 seconds 
iteration: 7 time: 0.283 seconds 
iteration: 8 time: 0.312 seconds 
iteration: 9 time: 0.301 seconds 
iteration: 10 time: 0.257 seconds 
iteration: 11 time: 0.313 seconds 
iteration: 12 time: 0.273 seconds 
iteration: 13 time: 0.284 seconds 
iteration: 14 time: 0.340 seconds 
iteration: 15 time: 0.302 seconds 
iteration: 16 time: 0.331 seconds 
iteration: 17 time: 0.312 seconds 
iteration: 18 time: 0.276 seconds 
iteration: 19 time: 0.296 seconds 
iteration: 20 time: 0.379 seconds 
iteration: 21 time: 0.380 seconds 
iteration: 22 time: 0.322 seconds 
iteration: 23 time: 0.315 seconds 
iteration: 24 time: 0.356 seconds 
iteration: 25 time: 0.347 seconds 
iteration: 26 time: 0.329 seconds 
iteration: 27 time: 0.354 seconds 
iteration: 28 time: 0.322 seconds 
iteration: 29 time: 0.316 seconds 
iteration: 30 time: 0.309 seconds 
iteration: 31 time: 0.342 seconds 
iteration: 32 time: 0.438 seconds 
iteration: 33 time: 0.347 seconds 
iteration: 34 time: 0.422 seconds 
iteration: 35 time: 0.395 seconds 
iteration: 36 time: 0.315 seconds 
iteration: 37 time: 0.343 seconds 
iteration: 38 time: 0.311 seconds 
iteration: 39 time: 0.331 seconds 
iteration: 40 time: 0.305 seconds 
iteration: 41 time: 0.318 seconds 
iteration: 42 time: 0.292 seconds 
iteration: 43 time: 0.332 seconds 
iteration: 44 time: 0.459 seconds 
iteration: 45 time: 0.368 seconds 
iteration: 46 time: 0.309 seconds 
iteration: 47 time: 0.494 seconds 
iteration: 48 time: 0.347 seconds 
iteration: 49 time: 0.342 seconds 
iteration: 50 time: 0.346 seconds 
iteration: 51 time: 0.348 seconds 
iteration: 52 time: 0.309 seconds 
iteration: 53 time: 0.329 seconds 
iteration: 54 time: 0.300 seconds 
iteration: 55 time: 0.302 seconds 
iteration: 56 time: 0.322 seconds 
iteration: 57 time: 0.320 seconds 
iteration: 58 time: 0.290 seconds 
iteration: 59 time: 0.405 seconds 
iteration: 60 time: 0.362 seconds 
iteration: 61 time: 0.320 seconds 
iteration: 62 time: 0.322 seconds 
iteration: 63 time: 0.342 seconds 
iteration: 64 time: 0.318 seconds 
iteration: 65 time: 0.309 seconds 
iteration: 66 time: 0.327 seconds 
iteration: 67 time: 0.296 seconds 
iteration: 68 time: 0.314 seconds 
iteration: 69 time: 0.325 seconds 
iteration: 70 time: 0.290 seconds 
iteration: 71 time: 0.313 seconds 
iteration: 72 time: 0.356 seconds 
iteration: 73 time: 0.341 seconds 
iteration: 74 time: 0.323 seconds 
iteration: 75 time: 0.307 seconds 
iteration: 76 time: 0.366 seconds 
iteration: 77 time: 0.328 seconds 
iteration: 78 time: 0.315 seconds 
iteration: 79 time: 0.398 seconds 
iteration: 80 time: 0.322 seconds 
iteration: 81 time: 0.361 seconds 
iteration: 82 time: 0.314 seconds 
iteration: 83 time: 0.338 seconds 
iteration: 84 time: 0.317 seconds 
iteration: 85 time: 0.274 seconds 
iteration: 86 time: 0.332 seconds 
iteration: 87 time: 0.331 seconds 
iteration: 88 time: 0.297 seconds 
iteration: 89 time: 0.284 seconds 
iteration: 90 time: 0.281 seconds 
iteration: 91 time: 0.278 seconds 
iteration: 92 time: 0.275 seconds 
iteration: 93 time: 0.295 seconds 
iteration: 94 time: 0.312 seconds 
iteration: 95 time: 0.385 seconds 
iteration: 96 time: 0.321 seconds 
iteration: 97 time: 0.304 seconds 
iteration: 98 time: 0.332 seconds 
iteration: 99 time: 0.311 seconds 
run all iterations: 32.753 seconds elapsed
FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.374 seconds 
iteration: 1 time: 0.334 seconds 
iteration: 2 time: 0.376 seconds 
iteration: 3 time: 0.296 seconds 
iteration: 4 time: 0.343 seconds 
iteration: 5 time: 0.280 seconds 
iteration: 6 time: 0.338 seconds 
iteration: 7 time: 0.289 seconds 
iteration: 8 time: 0.288 seconds 
iteration: 9 time: 0.299 seconds 
iteration: 10 time: 0.267 seconds 
iteration: 11 time: 0.287 seconds 
iteration: 12 time: 0.323 seconds 
iteration: 13 time: 0.325 seconds 
iteration: 14 time: 0.307 seconds 
iteration: 15 time: 0.295 seconds 
iteration: 16 time: 0.298 seconds 
iteration: 17 time: 0.328 seconds 
iteration: 18 time: 0.278 seconds 
iteration: 19 time: 0.277 seconds 
iteration: 20 time: 0.328 seconds 
iteration: 21 time: 0.293 seconds 
iteration: 22 time: 0.296 seconds 
iteration: 23 time: 0.327 seconds 
iteration: 24 time: 0.321 seconds 
iteration: 25 time: 0.291 seconds 
iteration: 26 time: 0.300 seconds 
iteration: 27 time: 0.355 seconds 
iteration: 28 time: 0.324 seconds 
iteration: 29 time: 0.316 seconds 
iteration: 30 time: 0.306 seconds 
iteration: 31 time: 0.302 seconds 
iteration: 32 time: 0.280 seconds 
iteration: 33 time: 0.288 seconds 
iteration: 34 time: 0.279 seconds 
iteration: 35 time: 0.309 seconds 
iteration: 36 time: 0.291 seconds 
iteration: 37 time: 0.319 seconds 
iteration: 38 time: 0.339 seconds 
iteration: 39 time: 0.336 seconds 
iteration: 40 time: 0.309 seconds 
iteration: 41 time: 0.273 seconds 
iteration: 42 time: 0.310 seconds 
iteration: 43 time: 0.268 seconds 
iteration: 44 time: 0.323 seconds 
iteration: 45 time: 0.286 seconds 
iteration: 46 time: 0.299 seconds 
iteration: 47 time: 0.275 seconds 
iteration: 48 time: 0.270 seconds 
iteration: 49 time: 0.292 seconds 
iteration: 50 time: 0.309 seconds 
iteration: 51 time: 0.317 seconds 
iteration: 52 time: 0.294 seconds 
iteration: 53 time: 0.286 seconds 
iteration: 54 time: 0.296 seconds 
iteration: 55 time: 0.272 seconds 
iteration: 56 time: 0.314 seconds 
iteration: 57 time: 0.277 seconds 
iteration: 58 time: 0.291 seconds 
iteration: 59 time: 0.335 seconds 
iteration: 60 time: 0.279 seconds 
iteration: 61 time: 0.287 seconds 
iteration: 62 time: 0.282 seconds 
iteration: 63 time: 0.287 seconds 
iteration: 64 time: 0.286 seconds 
iteration: 65 time: 0.333 seconds 
iteration: 66 time: 0.329 seconds 
iteration: 67 time: 0.309 seconds 
iteration: 68 time: 0.318 seconds 
iteration: 69 time: 0.313 seconds 
iteration: 70 time: 0.298 seconds 
iteration: 71 time: 0.322 seconds 
iteration: 72 time: 0.292 seconds 
iteration: 73 time: 0.300 seconds 
iteration: 74 time: 0.319 seconds 
iteration: 75 time: 0.287 seconds 
iteration: 76 time: 0.311 seconds 
iteration: 77 time: 0.300 seconds 
iteration: 78 time: 0.297 seconds 
iteration: 79 time: 0.311 seconds 
iteration: 80 time: 0.332 seconds 
iteration: 81 time: 0.310 seconds 
iteration: 82 time: 0.306 seconds 
iteration: 83 time: 0.309 seconds 
iteration: 84 time: 0.289 seconds 
iteration: 85 time: 0.303 seconds 
iteration: 86 time: 0.271 seconds 
iteration: 87 time: 0.347 seconds 
iteration: 88 time: 0.316 seconds 
iteration: 89 time: 0.293 seconds 
iteration: 90 time: 0.279 seconds 
iteration: 91 time: 0.285 seconds 
iteration: 92 time: 0.296 seconds 
iteration: 93 time: 0.302 seconds 
iteration: 94 time: 0.277 seconds 
iteration: 95 time: 0.267 seconds 
iteration: 96 time: 0.270 seconds 
iteration: 97 time: 0.276 seconds 
iteration: 98 time: 0.300 seconds 
iteration: 99 time: 0.287 seconds 
run all iterations: 30.278 seconds elapsed
FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.081 seconds 
iteration: 1 time: 0.088 seconds 
iteration: 2 time: 0.088 seconds 
iteration: 3 time: 0.079 seconds 
iteration: 4 time: 0.071 seconds 
iteration: 5 time: 0.074 seconds 
iteration: 6 time: 0.061 seconds 
iteration: 7 time: 0.066 seconds 
iteration: 8 time: 0.060 seconds 
iteration: 9 time: 0.060 seconds 
iteration: 10 time: 0.051 seconds 
iteration: 11 time: 0.056 seconds 
iteration: 12 time: 0.051 seconds 
iteration: 13 time: 0.064 seconds 
iteration: 14 time: 0.051 seconds 
iteration: 15 time: 0.054 seconds 
iteration: 16 time: 0.052 seconds 
iteration: 17 time: 0.058 seconds 
iteration: 18 time: 0.052 seconds 
iteration: 19 time: 0.054 seconds 
iteration: 20 time: 0.055 seconds 
iteration: 21 time: 0.048 seconds 
iteration: 22 time: 0.047 seconds 
iteration: 23 time: 0.065 seconds 
iteration: 24 time: 0.041 seconds 
iteration: 25 time: 0.047 seconds 
iteration: 26 time: 0.050 seconds 
iteration: 27 time: 0.051 seconds 
iteration: 28 time: 0.051 seconds 
iteration: 29 time: 0.098 seconds 
iteration: 30 time: 0.102 seconds 
iteration: 31 time: 0.046 seconds 
iteration: 32 time: 0.046 seconds 
iteration: 33 time: 0.046 seconds 
iteration: 34 time: 0.047 seconds 
iteration: 35 time: 0.047 seconds 
iteration: 36 time: 0.046 seconds 
iteration: 37 time: 0.046 seconds 
iteration: 38 time: 0.047 seconds 
iteration: 39 time: 0.047 seconds 
iteration: 40 time: 0.048 seconds 
iteration: 41 time: 0.045 seconds 
iteration: 42 time: 0.046 seconds 
iteration: 43 time: 0.046 seconds 
iteration: 44 time: 0.046 seconds 
iteration: 45 time: 0.042 seconds 
iteration: 46 time: 0.049 seconds 
iteration: 47 time: 0.050 seconds 
iteration: 48 time: 0.051 seconds 
iteration: 49 time: 0.047 seconds 
iteration: 50 time: 0.048 seconds 
iteration: 51 time: 0.051 seconds 
iteration: 52 time: 0.056 seconds 
iteration: 53 time: 0.049 seconds 
iteration: 54 time: 0.048 seconds 
iteration: 55 time: 0.047 seconds 
iteration: 56 time: 0.048 seconds 
iteration: 57 time: 0.046 seconds 
iteration: 58 time: 0.071 seconds 
iteration: 59 time: 0.057 seconds 
iteration: 60 time: 0.046 seconds 
iteration: 61 time: 0.051 seconds 
iteration: 62 time: 0.049 seconds 
iteration: 63 time: 0.046 seconds 
iteration: 64 time: 0.044 seconds 
iteration: 65 time: 0.044 seconds 
iteration: 66 time: 0.046 seconds 
iteration: 67 time: 0.047 seconds 
iteration: 68 time: 0.048 seconds 
iteration: 69 time: 0.053 seconds 
iteration: 70 time: 0.051 seconds 
iteration: 71 time: 0.051 seconds 
iteration: 72 time: 0.047 seconds 
iteration: 73 time: 0.043 seconds 
iteration: 74 time: 0.049 seconds 
iteration: 75 time: 0.045 seconds 
iteration: 76 time: 0.047 seconds 
iteration: 77 time: 0.048 seconds 
iteration: 78 time: 0.053 seconds 
iteration: 79 time: 0.052 seconds 
iteration: 80 time: 0.048 seconds 
iteration: 81 time: 0.047 seconds 
iteration: 82 time: 0.045 seconds 
iteration: 83 time: 0.048 seconds 
iteration: 84 time: 0.047 seconds 
iteration: 85 time: 0.050 seconds 
iteration: 86 time: 0.045 seconds 
iteration: 87 time: 0.054 seconds 
iteration: 88 time: 0.049 seconds 
iteration: 89 time: 0.047 seconds 
iteration: 90 time: 0.046 seconds 
iteration: 91 time: 0.053 seconds 
iteration: 92 time: 0.049 seconds 
iteration: 93 time: 0.047 seconds 
iteration: 94 time: 0.046 seconds 
iteration: 95 time: 0.059 seconds 
iteration: 96 time: 0.052 seconds 
iteration: 97 time: 0.050 seconds 
iteration: 98 time: 0.047 seconds 
iteration: 99 time: 0.044 seconds 
run all iterations: 5.272 seconds elapsed
FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.434 seconds 
iteration: 1 time: 0.327 seconds 
iteration: 2 time: 0.317 seconds 
iteration: 3 time: 0.291 seconds 
iteration: 4 time: 0.288 seconds 
iteration: 5 time: 0.261 seconds 
iteration: 6 time: 0.264 seconds 
iteration: 7 time: 0.261 seconds 
iteration: 8 time: 0.263 seconds 
iteration: 9 time: 0.270 seconds 
iteration: 10 time: 0.258 seconds 
iteration: 11 time: 0.253 seconds 
iteration: 12 time: 0.309 seconds 
iteration: 13 time: 0.320 seconds 
iteration: 14 time: 0.325 seconds 
iteration: 15 time: 0.316 seconds 
iteration: 16 time: 0.301 seconds 
iteration: 17 time: 0.305 seconds 
iteration: 18 time: 0.303 seconds 
iteration: 19 time: 0.319 seconds 
iteration: 20 time: 0.296 seconds 
iteration: 21 time: 0.276 seconds 
iteration: 22 time: 0.282 seconds 
iteration: 23 time: 0.296 seconds 
iteration: 24 time: 0.275 seconds 
iteration: 25 time: 0.328 seconds 
iteration: 26 time: 0.323 seconds 
iteration: 27 time: 0.324 seconds 
iteration: 28 time: 0.319 seconds 
iteration: 29 time: 0.270 seconds 
iteration: 30 time: 0.326 seconds 
iteration: 31 time: 0.329 seconds 
iteration: 32 time: 0.281 seconds 
iteration: 33 time: 0.279 seconds 
iteration: 34 time: 0.299 seconds 
iteration: 35 time: 0.305 seconds 
iteration: 36 time: 0.302 seconds 
iteration: 37 time: 0.301 seconds 
iteration: 38 time: 0.278 seconds 
iteration: 39 time: 0.286 seconds 
iteration: 40 time: 0.398 seconds 
iteration: 41 time: 0.304 seconds 
iteration: 42 time: 0.324 seconds 
iteration: 43 time: 0.294 seconds 
iteration: 44 time: 0.333 seconds 
iteration: 45 time: 0.332 seconds 
iteration: 46 time: 0.288 seconds 
iteration: 47 time: 0.311 seconds 
iteration: 48 time: 0.304 seconds 
iteration: 49 time: 0.314 seconds 
iteration: 50 time: 0.326 seconds 
iteration: 51 time: 0.296 seconds 
iteration: 52 time: 0.304 seconds 
iteration: 53 time: 0.289 seconds 
iteration: 54 time: 0.290 seconds 
iteration: 55 time: 0.270 seconds 
iteration: 56 time: 0.274 seconds 
iteration: 57 time: 0.308 seconds 
iteration: 58 time: 0.287 seconds 
iteration: 59 time: 0.312 seconds 
iteration: 60 time: 0.258 seconds 
iteration: 61 time: 0.316 seconds 
iteration: 62 time: 0.304 seconds 
iteration: 63 time: 0.313 seconds 
iteration: 64 time: 0.293 seconds 
iteration: 65 time: 0.296 seconds 
iteration: 66 time: 0.307 seconds 
iteration: 67 time: 0.344 seconds 
iteration: 68 time: 0.337 seconds 
iteration: 69 time: 0.330 seconds 
iteration: 70 time: 0.306 seconds 
iteration: 71 time: 0.328 seconds 
iteration: 72 time: 0.308 seconds 
iteration: 73 time: 0.329 seconds 
iteration: 74 time: 0.292 seconds 
iteration: 75 time: 0.303 seconds 
iteration: 76 time: 0.302 seconds 
iteration: 77 time: 0.301 seconds 
iteration: 78 time: 0.298 seconds 
iteration: 79 time: 0.290 seconds 
iteration: 80 time: 0.273 seconds 
iteration: 81 time: 0.290 seconds 
iteration: 82 time: 0.320 seconds 
iteration: 83 time: 0.316 seconds 
iteration: 84 time: 0.304 seconds 
iteration: 85 time: 0.304 seconds 
iteration: 86 time: 0.344 seconds 
iteration: 87 time: 0.267 seconds 
iteration: 88 time: 0.278 seconds 
iteration: 89 time: 0.288 seconds 
iteration: 90 time: 0.338 seconds 
iteration: 91 time: 0.310 seconds 
iteration: 92 time: 0.287 seconds 
iteration: 93 time: 0.283 seconds 
iteration: 94 time: 0.288 seconds 
iteration: 95 time: 0.291 seconds 
iteration: 96 time: 0.290 seconds 
iteration: 97 time: 0.304 seconds 
iteration: 98 time: 0.296 seconds 
iteration: 99 time: 0.302 seconds 
run all iterations: 30.249 seconds elapsed
FINISH GENERATION *************************
FINISH ALLOCTION AND INITIALIZATION *************************
iteration: 0 time: 0.093 seconds 
iteration: 1 time: 0.081 seconds 
iteration: 2 time: 0.066 seconds 
iteration: 3 time: 0.067 seconds 
iteration: 4 time: 0.073 seconds 
iteration: 5 time: 0.068 seconds 
iteration: 6 time: 0.062 seconds 
iteration: 7 time: 0.072 seconds 
iteration: 8 time: 0.054 seconds 
iteration: 9 time: 0.063 seconds 
iteration: 10 time: 0.061 seconds 
iteration: 11 time: 0.058 seconds 
iteration: 12 time: 0.057 seconds 
iteration: 13 time: 0.058 seconds 
iteration: 14 time: 0.055 seconds 
iteration: 15 time: 0.054 seconds 
iteration: 16 time: 0.056 seconds 
iteration: 17 time: 0.057 seconds 
iteration: 18 time: 0.049 seconds 
iteration: 19 time: 0.056 seconds 
iteration: 20 time: 0.048 seconds 
iteration: 21 time: 0.050 seconds 
iteration: 22 time: 0.047 seconds 
iteration: 23 time: 0.048 seconds 
iteration: 24 time: 0.050 seconds 
iteration: 25 time: 0.048 seconds 
iteration: 26 time: 0.051 seconds 
