Program	Static-Opt	Heracles	EMU
asr+bs	0.900113333333333	0.659113333333333	0.794973333333333
asr+bt	0.644773333333333	0.644226666666667	0.822826666666666
asr+fs	0.698326666666667	0.653253333333333	0.97032
asr+fa	0.668266666666667	0.659673333333333	0.835566666666667
asr+rt	0.844906666666667	0.778693333333333	0.79594
asr+x264	0.758593333333333	0.64934	0.8597
asr+can	0.661466666666667	0.648106666666667	0.839433333333333
asr+sc	0.67768	0.653626666666667	0.88306
crf+bs	0.805166666666667	0.77578	0.904
crf+bt	0.60034	1.00046	0.874513333333333
crf+fs	0.782173333333333	0.765973333333333	0.937
crf+fa	0.723786666666667	0.9342	0.910493333333333
crf+rt	0.851373333333333	0.800653333333333	0.94932
crf+x264	0.751566666666667	0.78096	0.874226666666667
crf+can	0.573646666666667	0.840433333333333	0.960046666666667
crf+sc	0.594446666666667	0.87448	0.8595
fd+bs	0.87626	0.90088	0.91062
fd+bt	0.884686666666667	0.933406666666667	0.90558
fd+fs	0.876146666666667	0.936193333333333	0.933093333333333
fd+fa	0.87598	0.921866666666667	0.91062
fd+rt	0.88508	0.912	0.901773333333333
fd+x264	0.878973333333333	0.8985	0.952626666666667
fd+can	0.944906666666667	0.945946666666667	0.901353333333333
fd+sc	0.881773333333333	0.909733333333333	0.943346666666667
fe+bs	0.774366666666667	0.819153333333333	0.81542
fe+bt	0.775206666666667	0.815733333333333	0.840413333333333
fe+fs	0.77362	0.850606666666667	0.850793333333333
fe+fa	0.775413333333333	0.89156	0.926206666666667
fe+rt	0.788513333333333	0.801746666666667	0.827866666666667
fe+x264	0.777533333333333	0.83332	0.837746666666667
fe+can	0.914813333333333	0.848046666666667	0.861086666666667
fe+sc	0.775506666666667	0.865173333333333	0.91698
gmm+bs	0.656293333333333	0.951833333333333	0.962193333333333
gmm+bt	0.65904	0.961273333333333	0.95322
gmm+fs	0.665013333333333	0.857566666666667	0.969113333333333
gmm+fa	0.66408	0.856326666666667	0.974266666666667
gmm+rt	0.83932	0.808093333333333	0.959506666666667
gmm+x264	0.662026666666667	0.963213333333333	0.956493333333333
gmm+can	0.66372	0.873053333333333	0.954206666666667
gmm+sc	0.805593333333333	0.9627	0.96826
regex+bs	0.86262	0.837693333333333	0.9277
regex+bt	0.847806666666667	0.92374	0.923806666666667
regex+fs	0.807193333333333	0.876013333333333	0.9163
regex+fa	0.87106	0.924246666666667	0.95074
regex+rt	0.83598	0.83632	0.931293333333333
regex+x264	0.79034	0.84012	0.888426666666667
regex+can	0.79434	0.864666666666667	0.922393333333333
regex+sc	0.803326666666667	0.871993333333333	0.93486
stem+bs	0.881193333333333	0.788786666666667	0.834066666666667
stem+bt	0.803086666666667	0.805786666666667	0.82982
stem+fs	0.86746	0.844606666666667	0.853546666666667
stem+fa	0.864673333333333	0.803393333333333	0.844226666666667
stem+rt	0.973493333333333	0.8007	0.835626666666667
stem+x264	0.870926666666667	0.79956	0.844926666666667
stem+can	0.76014	0.801906666666667	0.830613333333333
stem+sc	0.797413333333333	0.800066666666667	0.832933333333333
Average	0.786456190476191	0.836723214285714	0.894731904761905
