Program	ElastiGirl	ElastiGIrl-NoCache
asr+bs	0.9198357961	0.5974450224
asr+bt	0.5664749044	0.5493229223
asr+fs	1.2820502501	0.9359744205
asr+fa	1.1243366377	0.754503293
asr+rt	0.8634665919	0.7149680374
asr+x264	0.9935297946	0.8635672054
asr+can	0.8255204795	0.6886982042
asr+sc	0.6794771352	0.461166691
crf+bs	0.5723657177	0.5525594697
crf+bt	0.3930706052	0.3825795863
crf+fs	0.9298581709	0.8522490437
crf+fa	0.6950183311	0.5919004206
crf+rt	0.5231874117	0.4895192703
crf+x264	0.6234170957	0.5298349336
crf+can	0.4696629715	0.4279266617
crf+sc	0.4483938713	0.4024372462
fd+bs	0.0837334561	0.0836184027
fd+bt	0.0496747559	0.048056692
fd+fs	0.133168673	0.1190012396
fd+fa	0.1305852871	0.1277137074
fd+rt	0.0846105588	0.0820668169
fd+x264	0.1305450654	0.1232082089
fd+can	0.0838431509	0.0827463879
fd+sc	0	0
fe+bs	0.0838334328	0.0850525545
fe+bt	0.0535156373	0.0546158496
fe+fs	0.1540207623	0.1417888823
fe+fa	0.1350741348	0.1375198134
fe+rt	0.0848492176	0.0854572595
fe+x264	0.1420939836	0.1472652676
fe+can	0.0855737639	0.089139894
fe+sc	0	0
gmm+bs	0.2243621423	0.2015318793
gmm+bt	0.1415034811	0.130580326
gmm+fs	0.2231137023	0.2112836694
gmm+fa	0.2089368972	0.2209350288
gmm+rt	0.1856991785	0.1803638565
gmm+x264	0.2696150271	0.2778750032
gmm+can	0.1260226988	0.1357266202
gmm+sc	0	0
regex+bs	0.1262842023	0.1409214484
regex+bt	0.086033814	0.1043449562
regex+fs	0.3055338499	0.2492275743
regex+fa	0.224424293	0.2214672716
regex+rt	0.138528219	0.1167388921
regex+x264	0.2320716841	0.1805898097
regex+can	0.1321070653	0.166417724
regex+sc	0	0.0165501108
stem+bs	0.6999894092	0.627827661
stem+bt	0.4563038947	0.4414283392
stem+fs	1.0556610912	1.0897246016
stem+fa	0.7799343512	0.6417061513
stem+rt	0.6169228714	0.5698884128
stem+x264	0.6958733353	0.7081252943
stem+can	0.6604667386	0.5650825015
stem+sc	0.5480971068	0.521688101
Average	0.3836120125	0.3378915828

