Program	Co-Run
asr+bs	0.9433733333
asr+bt	0.6402266667
asr+fs	0.6958266667
asr+fa	0.6816733333
asr+rt	0.7387266667
asr+x264	0.7482133333
asr+can	0.6650066667
asr+sc	0.6738333333
crf+bs	1.0278866667
crf+bt	0.61276
crf+fs	0.7819333333
crf+fa	0.7438
crf+rt	0.8364933333
crf+x264	0.7482266667
crf+can	0.5884
crf+sc	0.5925133333
fd+bs	1.5034866667
fd+bt	1.1122866667
fd+fs	1.32096
fd+fa	1.4025866667
fd+rt	1.67714
fd+x264	1.5330066667
fd+can	1.0348
fd+sc	1.0890933333
fe+bs	1.4335333333
fe+bt	1.05616
fe+fs	1.2532666667
fe+fa	1.27152
fe+rt	1.5359
fe+x264	1.3375733333
fe+can	1.02548
fe+sc	1.03758
gmm+bs	1.4785066667
gmm+bt	1.3124133333
gmm+fs	1.2744266667
gmm+fa	1.2844466667
gmm+rt	1.41804
gmm+x264	1.3185666667
gmm+can	1.2189733333
gmm+sc	1.15964
regex+bs	1.4273133333
regex+bt	1.2765666667
regex+fs	1.09234
regex+fa	1.1203266667
regex+rt	1.64898
regex+x264	1.1120066667
regex+can	1.2459133333
regex+sc	1.1830333333
stem+bs	1.0903933333
stem+bt	0.8021466667
stem+fs	0.8689666667
stem+fa	0.86904
stem+rt	0.9963133333
stem+x264	0.86734
stem+can	0.7545333333
stem+sc	0.79366
Avg.	1.0706634524

