Program	ElastiGirl	ElastiGirl-NoRuntime
asr+bs	0.9198357961	0.9420991954
asr+bt	0.5664749044	0.5919014646
asr+fs	1.2820502501	1.5595414856
asr+fa	1.1243366377	1.2372811356
asr+rt	0.8634665919	0.9200036432
asr+x264	0.9935297946	0.9376723224
asr+can	0.8255204795	0.8641913605
asr+sc	0.6794771352	0.630364676
crf+bs	0.5723657177	0.6905042344
crf+bt	0.3930706052	0.4268044431
crf+fs	0.9298581709	1.1722209082
crf+fa	0.6950183311	0.8567562468
crf+rt	0.5231874117	0.6500602028
crf+x264	0.6234170957	0.7392114845
crf+can	0.4696629715	0.6308788172
crf+sc	0.4483938713	0.4942674131
fd+bs	0.0837334561	0.0839289605
fd+bt	0.0496747559	0.0464160128
fd+fs	0.133168673	0.1385567682
fd+fa	0.1305852871	0.1316564369
fd+rt	0.0846105588	0.0842789212
fd+x264	0.1305450654	0.1315944891
fd+can	0.0838431509	0.0845355614
fd+sc	0	0
fe+bs	0.0838334328	0.0830212617
fe+bt	0.0535156373	0.0560999276
fe+fs	0.1540207623	0.157545748
fe+fa	0.1350741348	0.1394759248
fe+rt	0.0848492176	0.0856095074
fe+x264	0.1420939836	0.1457368067
fe+can	0.0855737639	0.0874218674
fe+sc	0	0
gmm+bs	0.2243621423	0.2706453906
gmm+bt	0.1415034811	0.1464944024
gmm+fs	0.2231137023	0.3243110705
gmm+fa	0.2089368972	0.3035647735
gmm+rt	0.1856991785	0.2195591333
gmm+x264	0.2696150271	0.3089306263
gmm+can	0.1260226988	0.1860983476
gmm+sc	0	0
regex+bs	0.1262842023	0.1441617293
regex+bt	0.086033814	0.1001500168
regex+fs	0.3055338499	0.3239606153
regex+fa	0.224424293	0.2679506101
regex+rt	0.138528219	0.1469916647
regex+x264	0.2320716841	0.2900028799
regex+can	0.1321070653	0.1734566069
regex+sc	0	0
stem+bs	0.6999894092	0.8668847615
stem+bt	0.4563038947	0.5366824929
stem+fs	1.0556610912	1.380481746
stem+fa	0.7799343512	1.120124751
stem+rt	0.6169228714	0.8218059919
stem+x264	0.6958733353	0.9414961221
stem+can	0.6604667386	0.8107148737
stem+sc	0.5480971068	0.6146298835
Average	0.3836120125	0.4481917092

