ThreadNum=1, n=100000000, RunningTime= 0.262978 s, pi≈ 3.141546, accuracy= 0.999985
ThreadNum=2, n=100000000, RunningTime= 2.393376 s, pi≈ 3.141318, accuracy= 0.999912
ThreadNum=3, n=100000000, RunningTime= 1.164863 s, pi≈ 3.141712, accuracy= 0.999962
ThreadNum=4, n=100000000, RunningTime= 2.077495 s, pi≈ 3.141640, accuracy= 0.999985
ThreadNum=5, n=100000000, RunningTime= 1.971694 s, pi≈ 3.141846, accuracy= 0.999919
ThreadNum=6, n=100000000, RunningTime= 0.948127 s, pi≈ 3.141345, accuracy= 0.999921
ThreadNum=7, n=100000000, RunningTime= 0.980068 s, pi≈ 3.141492, accuracy= 0.999968
ThreadNum=8, n=100000000, RunningTime= 1.562997 s, pi≈ 3.141825, accuracy= 0.999926
ThreadNum=9, n=100000000, RunningTime= 2.921493 s, pi≈ 3.141568, accuracy= 0.999992
ThreadNum=10, n=100000000, RunningTime= 1.304737 s, pi≈ 3.141511, accuracy= 0.999974
ThreadNum=11, n=100000000, RunningTime= 1.644350 s, pi≈ 3.141490, accuracy= 0.999967
ThreadNum=12, n=100000000, RunningTime= 1.689423 s, pi≈ 3.141421, accuracy= 0.999945
ThreadNum=13, n=100000000, RunningTime= 1.429323 s, pi≈ 3.141240, accuracy= 0.999888
ThreadNum=14, n=100000000, RunningTime= 1.918199 s, pi≈ 3.141480, accuracy= 0.999964
ThreadNum=15, n=100000000, RunningTime= 1.422158 s, pi≈ 3.141421, accuracy= 0.999946
ThreadNum=16, n=100000000, RunningTime= 1.574161 s, pi≈ 3.141522, accuracy= 0.999977
ThreadNum=17, n=100000000, RunningTime= 1.689387 s, pi≈ 3.141614, accuracy= 0.999993
ThreadNum=18, n=100000000, RunningTime= 1.372219 s, pi≈ 3.141792, accuracy= 0.999937
ThreadNum=19, n=100000000, RunningTime= 1.473959 s, pi≈ 3.141583, accuracy= 0.999997
ThreadNum=20, n=100000000, RunningTime= 1.876390 s, pi≈ 3.141698, accuracy= 0.999966
ThreadNum=21, n=100000000, RunningTime= 2.746593 s, pi≈ 3.141594, accuracy= 1.000000
ThreadNum=22, n=100000000, RunningTime= 2.154117 s, pi≈ 3.141584, accuracy= 0.999997
ThreadNum=23, n=100000000, RunningTime= 1.938649 s, pi≈ 3.141554, accuracy= 0.999988
ThreadNum=24, n=100000000, RunningTime= 1.245348 s, pi≈ 3.141313, accuracy= 0.999911
ThreadNum=25, n=100000000, RunningTime= 1.680335 s, pi≈ 3.141828, accuracy= 0.999925
ThreadNum=26, n=100000000, RunningTime= 3.055175 s, pi≈ 3.141566, accuracy= 0.999992
ThreadNum=27, n=100000000, RunningTime= 3.057814 s, pi≈ 3.141637, accuracy= 0.999986
ThreadNum=28, n=100000000, RunningTime= 3.053488 s, pi≈ 3.141776, accuracy= 0.999942
ThreadNum=29, n=100000000, RunningTime= 1.485523 s, pi≈ 3.141627, accuracy= 0.999989
ThreadNum=30, n=100000000, RunningTime= 1.431387 s, pi≈ 3.141815, accuracy= 0.999929
ThreadNum=31, n=100000000, RunningTime= 2.138261 s, pi≈ 3.141620, accuracy= 0.999991
ThreadNum=32, n=100000000, RunningTime= 3.063455 s, pi≈ 3.141543, accuracy= 0.999984
ThreadNum=33, n=100000000, RunningTime= 3.695466 s, pi≈ 3.141640, accuracy= 0.999985
ThreadNum=34, n=100000000, RunningTime= 1.643974 s, pi≈ 3.141433, accuracy= 0.999949
ThreadNum=35, n=100000000, RunningTime= 1.334401 s, pi≈ 3.141900, accuracy= 0.999902
ThreadNum=36, n=100000000, RunningTime= 1.352424 s, pi≈ 3.141776, accuracy= 0.999942
ThreadNum=37, n=100000000, RunningTime= 1.442176 s, pi≈ 3.141512, accuracy= 0.999974
ThreadNum=38, n=100000000, RunningTime= 1.827292 s, pi≈ 3.141486, accuracy= 0.999966
ThreadNum=39, n=100000000, RunningTime= 1.589199 s, pi≈ 3.141609, accuracy= 0.999995
ThreadNum=40, n=100000000, RunningTime= 2.943763 s, pi≈ 3.141443, accuracy= 0.999952
